Participant ID,Shape,Color,Reaction Time (ms),Error,TestType
3,arrow,blue,,0,icons
3,square,green,357.0,0,icons
3,circle,blue,,0,icons
3,circle,yellow,,0,icons
3,triangle,orange,,0,icons
3,square,red,341.0,0,icons
3,square,blue,467.0,0,icons
3,square,blue,310.0,0,icons
3,minus,blue,,0,icons
3,square,green,459.0,0,icons
3,square,blue,353.0,0,icons
3,circle,orange,,0,icons
3,square,orange,352.0,0,icons
3,square,yellow,327.0,0,icons
3,circle,red,,0,icons
3,minus,red,,0,icons
3,circle,orange,,0,icons
3,triangle,red,,0,icons
3,square,red,431.0,0,icons
3,square,red,343.0,0,icons
3,square,green,310.0,0,icons
3,square,blue,308.0,0,icons
3,square,red,307.0,0,icons
3,minus,green,,0,icons
4,circle,red,,0,icons
4,X,yellow,395.0,0,icons
4,X,red,318.0,0,icons
4,circle,yellow,,0,icons
4,minus,green,,0,icons
4,arrow,blue,,0,icons
4,minus,blue,,0,icons
4,X,yellow,347.0,0,icons
4,triangle,green,,0,icons
4,circle,green,,0,icons
4,minus,blue,,0,icons
4,arrow,orange,,0,icons
4,X,red,615.0,0,icons
4,X,yellow,355.0,0,icons
4,X,orange,285.0,0,icons
4,triangle,red,,0,icons
4,circle,green,,0,icons
4,X,yellow,311.0,0,icons
4,X,orange,285.0,0,icons
4,arrow,blue,,0,icons
4,X,green,376.0,0,icons
4,X,yellow,311.0,0,icons
4,X,yellow,304.0,0,icons
4,X,orange,295.0,0,icons
4,arrow,green,,0,icons
4,X,red,324.0,0,icons
4,triangle,yellow,,0,icons
4,circle,orange,,0,icons
4,circle,orange,,0,icons
4,minus,blue,,0,icons
4,X,red,419.0,0,icons
4,arrow,red,,0,icons
4,circle,green,,0,icons
4,X,yellow,381.0,0,icons
4,X,yellow,324.0,0,icons
4,minus,red,,0,icons
4,X,blue,322.0,0,icons
4,X,blue,301.0,0,icons
4,X,yellow,358.0,0,icons
4,X,red,332.0,0,icons
5,triangle,orange,,0,icons
5,circle,yellow,303.0,0,icons
5,triangle,yellow,,0,icons
5,minus,orange,,0,icons
5,circle,yellow,310.0,0,icons
5,triangle,yellow,,0,icons
5,minus,blue,,0,icons
5,circle,red,296.0,0,icons
5,arrow,yellow,,0,icons
5,circle,blue,294.0,0,icons
5,circle,green,357.0,0,icons
5,circle,yellow,317.0,0,icons
5,circle,green,302.0,0,icons
5,X,blue,,0,icons
5,triangle,red,,0,icons
5,circle,blue,343.0,0,icons
5,minus,green,,0,icons
5,square,red,,0,icons
5,circle,yellow,322.0,0,icons
5,square,red,,0,icons
5,square,red,,0,icons
5,arrow,green,,0,icons
5,circle,blue,296.0,0,icons
5,circle,orange,328.0,0,icons
5,circle,green,281.0,0,icons
5,circle,orange,299.0,0,icons
5,arrow,orange,,0,icons
5,square,yellow,,0,icons
5,circle,green,377.0,0,icons
