Participant ID,Shape,Color,Reaction Time (ms),Error
4,triangle,yellow,,0
4,triangle,red,360.0,0
4,square,orange,,0
4,triangle,blue,,0
4,circle,red,387.0,0
4,circle,orange,261.0,1
4,triangle,red,364.0,0
4,X,red,381.0,0
4,square,green,,0
4,minus,green,,0
4,triangle,green,,0
4,circle,red,330.0,0
4,triangle,red,342.0,0
4,arrow,red,363.0,0
4,minus,blue,,0
4,triangle,red,506.0,0
4,arrow,red,353.0,0
4,square,red,389.0,0
4,minus,red,365.0,0
4,square,red,345.0,0
4,minus,orange,,0
4,arrow,green,,0
4,circle,orange,,0
4,arrow,red,354.0,0
4,X,red,387.0,0
4,minus,red,372.0,0
4,arrow,green,,0
4,triangle,yellow,,0
4,square,red,336.0,0
4,square,orange,,0
4,circle,red,327.0,0
4,arrow,yellow,,0
4,square,red,355.0,0
5,circle,red,295.0,0
5,minus,red,369.0,0
5,X,yellow,,0
5,minus,red,366.0,0
5,minus,green,,0
5,arrow,orange,,0
5,X,blue,,0
5,triangle,green,,0
5,arrow,red,367.0,0
5,triangle,yellow,,0
5,minus,yellow,,0
5,circle,orange,,0
5,circle,blue,,0
5,arrow,yellow,,0
5,minus,orange,,0
5,circle,red,293.0,0
5,X,red,340.0,0
5,minus,red,337.0,0
5,arrow,red,306.0,0
5,triangle,blue,,0
5,arrow,red,334.0,0
5,triangle,green,,0
5,minus,blue,,0
5,circle,yellow,,0
5,arrow,red,371.0,0
5,arrow,red,309.0,0
5,triangle,orange,,0
5,X,orange,,0
5,square,red,313.0,0
5,arrow,green,,0
5,triangle,green,,0
5,X,red,343.0,0
5,triangle,red,361.0,0
5,circle,red,290.0,0
5,circle,orange,,0
5,triangle,red,351.0,0
5,triangle,red,324.0,0
5,arrow,red,391.0,0
5,square,red,289.0,0
5,triangle,red,317.0,0
6,triangle,yellow,548.0,0
6,triangle,green,310.0,0
6,triangle,yellow,331.0,0
6,arrow,blue,,0
6,minus,red,,0
6,minus,orange,,0
6,triangle,orange,393.0,0
6,triangle,yellow,355.0,0
6,triangle,yellow,334.0,0
6,circle,red,,0
6,circle,yellow,,0
6,triangle,blue,808.0,0
6,square,red,,0
6,triangle,orange,334.0,0
6,triangle,orange,377.0,0
6,arrow,orange,,0
6,triangle,yellow,362.0,0
6,triangle,blue,265.0,0
6,X,yellow,,0
6,square,blue,,0
6,square,green,,0
6,triangle,yellow,378.0,0
6,minus,blue,,0
6,minus,green,,0
6,X,blue,,0
6,square,green,,0
6,arrow,red,,0
6,minus,green,,0
6,arrow,green,,0
6,triangle,red,346.0,0
6,triangle,green,306.0,0
6,triangle,blue,296.0,0
6,arrow,orange,,0
6,triangle,red,336.0,0
6,triangle,blue,295.0,0
6,triangle,blue,300.0,0
6,triangle,yellow,313.0,0
6,minus,orange,,0
6,X,yellow,,0
6,triangle,orange,339.0,0
7,square,red,369.0,0
7,X,green,,0
7,circle,red,346.0,0
7,triangle,yellow,,0
7,X,blue,,0
7,arrow,red,393.0,0
7,triangle,red,344.0,0
7,circle,green,,0
7,arrow,red,349.0,0
7,arrow,red,263.0,0
7,minus,orange,,0
7,arrow,orange,,0
7,X,green,,0
7,minus,orange,,0
7,arrow,red,426.0,0
7,triangle,red,336.0,0
7,X,blue,,0
7,square,green,,0
7,square,green,,0
7,circle,yellow,,0
7,circle,blue,,0
7,minus,orange,,0
7,triangle,orange,,0
7,minus,orange,,0
7,arrow,red,340.0,0
7,X,red,356.0,0
7,minus,yellow,,0
7,triangle,green,,0
7,minus,red,369.0,0
7,X,red,289.0,0
7,arrow,red,304.0,0
7,circle,red,296.0,0
7,circle,red,266.0,0
7,arrow,red,276.0,0
7,minus,red,285.0,0
7,square,green,,0
7,square,red,339.0,0
7,triangle,red,294.0,0
7,square,red,289.0,0
7,circle,green,,0
8,square,red,494.0,0
8,circle,green,,0
8,X,green,,0
8,circle,blue,,0
8,arrow,red,409.0,0
8,square,red,816.0,0
8,X,red,933.0,0
8,circle,red,590.0,0
8,minus,orange,,0
8,square,red,775.0,0
8,X,red,861.0,0
8,X,red,692.0,0
8,X,red,802.0,0
8,arrow,blue,,0
8,triangle,red,737.0,0
8,triangle,green,,0
8,X,red,404.0,0
8,circle,orange,,0
8,triangle,orange,,0
8,arrow,orange,,0
8,minus,orange,,0
8,X,red,1141.0,0
8,arrow,red,850.0,0
8,circle,green,,0
8,circle,blue,,0
8,triangle,orange,,0
8,arrow,red,1079.0,0
8,triangle,orange,,0
8,X,red,1142.0,0
8,arrow,blue,,0
8,square,orange,,0
8,arrow,red,964.0,0
8,arrow,green,,0
8,X,yellow,,0
8,X,red,1124.0,0
8,arrow,orange,,0
8,circle,red,879.0,0
8,triangle,yellow,,0
8,square,red,787.0,0
8,X,red,742.0,0
9,triangle,yellow,,0
9,triangle,red,504.0,0
9,X,blue,,0
9,square,red,697.0,0
9,X,green,,0
9,triangle,yellow,,0
9,X,yellow,,0
9,minus,blue,,0
9,X,green,,0
9,triangle,yellow,,0
9,X,blue,,0
9,circle,yellow,,0
9,minus,red,693.0,0
9,square,red,316.0,0
9,triangle,orange,,0
9,arrow,red,931.0,0
9,triangle,red,322.0,0
9,arrow,red,315.0,0
9,triangle,blue,,0
9,minus,red,431.0,0
9,triangle,red,535.0,0
9,square,yellow,,0
9,arrow,blue,,0
9,arrow,red,437.0,0
9,triangle,blue,,0
9,circle,yellow,,0
9,X,red,712.0,0
9,minus,red,400.0,0
9,square,orange,,0
9,square,red,641.0,0
9,X,green,,0
9,square,red,353.0,0
9,circle,red,685.0,0
9,triangle,orange,,0
9,arrow,red,795.0,0
9,arrow,red,424.0,0
9,square,green,,0
9,minus,red,770.0,0
9,circle,red,535.0,0
9,X,red,662.0,0
10,circle,red,571.0,0
10,arrow,green,,0
10,minus,red,377.0,0
10,square,yellow,,0
10,minus,blue,,0
10,square,red,351.0,0
10,X,yellow,,0
10,arrow,red,420.0,0
10,minus,red,985.0,0
10,square,green,,0
10,arrow,red,318.0,0
10,arrow,blue,,0
