Participant ID,Shape,Color,Reaction Time (ms),Error
7,arrow,yellow,405.0,0
7,arrow,green,449.0,0
7,arrow,yellow,394.0,0
7,arrow,yellow,413.0,0
7,arrow,green,375.0,0
7,circle,blue,,0
7,arrow,red,390.0,0
7,triangle,red,371.0,1
7,arrow,orange,382.0,0
7,X,green,,0
7,X,blue,,0
7,arrow,blue,407.0,0
7,circle,red,,0
7,arrow,green,382.0,0
7,arrow,orange,403.0,0
7,arrow,orange,426.0,0
7,triangle,green,,0
7,circle,red,,0
7,arrow,red,503.0,0
7,circle,blue,,0
7,arrow,blue,319.0,0
7,square,green,,0
7,arrow,green,375.0,0
7,circle,yellow,,0
7,arrow,green,340.0,0
8,triangle,yellow,,0
8,square,orange,,0
8,X,blue,984.0,0
8,circle,orange,,0
8,X,orange,959.0,0
8,X,red,839.0,0
8,X,red,859.0,0
8,X,orange,960.0,0
8,X,yellow,972.0,0
8,X,green,915.0,0
8,minus,blue,,0
8,X,blue,835.0,0
8,X,green,770.0,0
8,circle,green,,0
8,X,blue,1083.0,0
8,circle,blue,,0
8,X,orange,1005.0,0
8,triangle,green,,0
8,arrow,orange,,0
8,X,orange,1078.0,0
8,triangle,red,,0
8,X,blue,382.0,0
8,X,red,736.0,0
8,triangle,green,,0
8,arrow,green,,0
8,X,orange,1042.0,0
8,X,blue,1014.0,0
8,arrow,green,,0
8,arrow,yellow,,0
8,X,orange,929.0,0
8,X,blue,1165.0,0
8,minus,green,,0
8,X,blue,1068.0,0
8,triangle,blue,,0
8,square,green,,0
8,triangle,red,,0
8,arrow,red,,0
8,arrow,red,,0
8,circle,green,,0
8,X,blue,1071.0,0
9,X,yellow,611.0,0
9,X,yellow,1088.0,0
9,minus,blue,,0
9,X,blue,,1
9,X,orange,565.0,0
9,minus,orange,,0
9,triangle,red,,0
9,X,blue,562.0,0
9,X,blue,845.0,0
9,X,orange,612.0,0
9,minus,orange,,0
9,X,yellow,587.0,0
9,X,green,591.0,0
9,minus,green,,0
9,minus,yellow,,0
9,X,green,680.0,0
9,X,yellow,567.0,0
9,minus,red,,0
9,minus,red,,0
9,arrow,yellow,,0
9,minus,blue,,0
9,X,blue,674.0,0
9,X,blue,569.0,0
9,square,yellow,,0
9,arrow,orange,,0
9,triangle,yellow,,0
9,square,red,,0
9,arrow,blue,,0
9,X,blue,671.0,0
9,X,yellow,643.0,0
9,X,blue,708.0,0
9,X,blue,595.0,0
9,triangle,green,,0
9,minus,green,,0
9,arrow,orange,,0
9,arrow,blue,,0
9,minus,yellow,,0
9,X,green,794.0,0
9,X,orange,697.0,0
9,X,orange,757.0,0
10,X,orange,418.0,0
10,circle,yellow,,0
10,X,yellow,376.0,0
10,X,green,425.0,0
10,minus,blue,,0
10,X,yellow,407.0,0
10,circle,red,,0
10,triangle,yellow,,0
10,X,blue,623.0,0
10,triangle,green,,0
10,X,green,383.0,0
10,minus,blue,,0
10,square,red,,0
10,X,red,379.0,0
10,triangle,orange,,0
10,square,green,,0
10,X,red,369.0,0
10,X,blue,382.0,0
10,X,yellow,307.0,0
10,X,orange,285.0,0
10,triangle,blue,,0
10,X,blue,376.0,0
10,arrow,blue,,0
10,X,blue,404.0,0
10,X,red,319.0,0
10,X,green,349.0,0
10,triangle,red,,0
10,triangle,red,,0
10,X,red,338.0,0
10,arrow,orange,,0
10,triangle,blue,,0
10,circle,red,,0
10,X,green,393.0,0
10,minus,blue,,0
10,X,red,333.0,0
10,square,green,,0
10,X,yellow,341.0,0
10,square,red,,0
10,minus,yellow,,0
10,X,blue,348.0,0
